"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22152","R22152","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0341311169066498,0.130367371578365,0.749106737336612,"101","49","41.0","41.0","39.0","39.0",NA,NA,0.0356832078658944,0.131314171870499,0.729011417948459,FALSE,120933634,105412188,15521446,0.8717,0.8305,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22152_sorted.bam",117650720,2400159,0.0199928481989707,0.488545998395534,32192656,0,0,0,0,0,0,0,16164118,0,0,12732127,0,4805930,6.46110094178001e-06,NA,NA,NA,NA
"R22153","R22153","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0521263497334446,0.219996204680227,1.31530597231381,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0547883007885645,0.225384313895939,1.31642997434843,FALSE,132384102,122035825,10348277,0.9218,0.8837,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22153_sorted.bam",135034266,2298387,0.0167359105776541,0.419132554123349,31599493,0,0,0,0,0,0,0,17698977,0,0,23283464,0,2810666,1.38926279608347e-05,NA,NA,NA,NA
"R22154","R22154","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN/PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0785756476308004,0.845873814828359,5.08274651264551,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0806107029872713,0.837406217563091,4.97848245141449,FALSE,165253490,143390464,21863026,0.8677,0.8202,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22154_sorted.bam",177775550,3398024,0.0187556271313608,0.322961959348863,34286605,0,0,0,0,0,0,0,43680087,0,0,23011317,0,5184974,2.42660362552665e-05,NA,NA,NA,NA
"R22155","R22155","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0284468562500544,0.272850381582405,1.86693130241965,"101","49","41.0","41.0","39.0","41.0",NA,NA,0.0404400228008261,0.326578492991168,2.12430954309753,FALSE,94136940,82646652,11490288,0.8779,0.8074,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22155_sorted.bam",96668168,1926363,0.0195382338194803,0.396764710366657,22562032,0,0,0,0,0,0,0,18452696,0,0,12547897,0,3302392,1.22329407209422e-05,NA,NA,NA,NA
"R22156","R22156","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0536451859538231,0.623603432953625,3.69425059177135,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0551975144009567,0.619601043945353,3.64774253875649,FALSE,122976552,108517337,14459215,0.8824,0.8337,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22156_sorted.bam",124356015,2591164,0.0204113554977066,0.445905061549441,31255186,0,0,0,0,0,0,0,19974801,0,0,14104931,0,4758895,4.44406249894018e-05,NA,NA,NA,NA
"R22157","R22157","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0240302922998795,0.189201406933222,1.19615914177188,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0350108834089707,0.227964203250973,1.35626643965741,FALSE,90860318,79366891,11493427,0.8735,0.8091,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22157_sorted.bam",91749320,1957811,0.0208928710025281,0.3488167908373,19017399,0,0,0,0,0,0,0,17521334,0,0,15035246,0,2945756,1.10425195369777e-05,NA,NA,NA,NA
"R22158","R22158","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","WARN","WARN","PASS","NA","101","45","41.0","41.0","39.0","39.0",NA,NA,0.012456405175027,0.100279818428783,0.755340062661869,"101","45","41.0","41.0","39.0","41.0",NA,NA,0.019041942393467,0.120715832647984,0.852918866928293,FALSE,96408232,86497430,9910802,0.8972,0.8333,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22158_sorted.bam",95824776,1473473,0.0151438799273767,0.363498684305319,19894982,0,0,0,0,0,0,0,12801561,0,0,20299729,0,1735651,1.357126133615e-05,NA,NA,NA,NA
"R22159","R22159","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0757905398691774,0.358194887447709,2.11828903548777,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0798654876484425,0.365805410637512,2.12128663405964,FALSE,143314720,128501942,14812778,0.8966,0.8578,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22159_sorted.bam",152004013,2652690,0.0171521178749039,0.384076341814172,32997743,0,0,0,0,0,0,0,27797662,0,0,18969635,0,6149502,1.636475561374e-05,NA,NA,NA,NA
"R22160","R22160","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0408849413089931,0.228336883947304,1.55866762235159,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.04400353503744,0.23330572493526,1.55996555699632,FALSE,101391854,92704776,8687078,0.9143,0.8808,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22160_sorted.bam",104573058,2526261,0.0235880211339159,0.475014927840043,28567070,0,0,0,0,0,0,0,17396515,0,0,11592893,0,2582832,1.11316981405513e-05,NA,NA,NA,NA
"R22161","R22161","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.043255839970381,0.261594805317296,1.75927675103998,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0442329670314883,0.258802576814038,1.72630215331585,FALSE,130791588,119074736,11716852,0.9104,0.8734,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22161_sorted.bam",138942783,1603820,0.0114113039075018,0.334825200610736,26634662,0,0,0,0,0,0,0,25382433,0,0,24277044,0,3253822,1.59941958339851e-05,NA,NA,NA,NA
"R22162","R22162","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","48","41.0","41.0","39.0","41.0",NA,NA,0.0117552048265142,0.0867290931104927,0.632439837698119,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0206367473102794,0.116492833695968,0.735202531738062,FALSE,105927546,92967878,12959668,0.8777,0.8135,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22162_sorted.bam",102424771,3921665,0.0368763180742606,0.488567413176805,29172456,0,0,0,0,0,0,0,15210767,0,0,11075373,0,4251600,7.54136024748825e-06,NA,NA,NA,NA
"R22163","R22163","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0695004915539994,0.394552359413043,2.38455521319108,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0733473849337487,0.401260796411399,2.38998379440303,FALSE,136499754,122004035,14495719,0.8938,0.8563,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22163_sorted.bam",137054298,3175607,0.0226457188286621,0.516279641283902,39066755,0,0,0,0,0,0,0,18897433,0,0,12582444,0,5123125,9.88052373431067e-06,NA,NA,NA,NA
"R22164","R22164","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","39.0","41.0",NA,NA,0.0733355351365262,0.347285147212633,2.22407129198125,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0759915395201272,0.352147519828197,2.22420339532499,FALSE,165022318,145927716,19094602,0.8843,0.8433,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22164_sorted.bam",172528833,2582124,0.0147456449569858,0.356821445379762,34989679,0,0,0,0,0,0,0,31904443,0,0,25256037,0,5909191,1.99773195975876e-05,NA,NA,NA,NA
"R22165","R22165","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.125357960522058,1.43989216569038,6.70173881947163,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.125919163572558,1.41606056508803,6.5578830856306,FALSE,145936484,125367421,20569063,0.8591,0.8034,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22165_sorted.bam",150605335,3023132,0.0196782019571933,0.376626374686892,33714334,0,0,0,0,0,0,0,34004761,0,0,16136186,0,5661376,2.30465771621056e-05,NA,NA,NA,NA
"R22166","R22166","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0759126545876935,0.584871356175121,3.45211017123101,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.07567496426038,0.569667139078234,3.33446448608172,FALSE,163237606,137413668,25823938,0.8418,0.7933,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22166_sorted.bam",154847755,3067442,0.0194246156055519,0.401739736396041,34216647,0,0,0,0,0,0,0,21048428,0,0,24922743,0,4983361,1.87627969508526e-05,NA,NA,NA,NA
"R22167","R22167","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.189287986166211,0.996260026294212,4.37741170369756,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.193293687499402,0.995605830767271,4.34427244376894,FALSE,130389152,114057284,16331868,0.8747,0.8325,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22167_sorted.bam",132682297,2653166,0.0196043663736533,0.343153629163438,26604158,0,0,0,0,0,0,0,25710656,0,0,22769763,0,2443841,2.68754981834043e-05,NA,NA,NA,NA
"R22168","R22168","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","39.0","41.0",NA,NA,0.0315302987657631,0.175487530662337,1.214416684041,"101","47","41.0","41.0","39.0","39.0",NA,NA,0.0331689026064876,0.172756524261129,1.16025222669816,FALSE,132551868,112104753,20447115,0.8457,0.8003,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22168_sorted.bam",125073371,2261367,0.0177592307921504,0.466549178435382,32151569,0,0,0,0,0,0,0,15720926,0,0,17103679,0,3937395,1.00150633395216e-05,NA,NA,NA,NA
"R22169","R22169","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","FAIL/WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0212407252649925,0.195965132126966,1.51020040851655,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.029478673319985,0.234681016601014,1.67670581460406,FALSE,121389452,107681710,13707742,0.8871,0.8202,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22169_sorted.bam",120491423,5458101,0.0433356222926257,0.356130365361344,25577905,0,0,0,0,0,0,0,21333899,0,0,22055818,0,2854125,1.5325727419818e-05,NA,NA,NA,NA
"R22170","R22170","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0308661149871874,0.136446702148503,0.872387696832227,"101","49","41.0","41.0","39.0","39.0",NA,NA,0.0329239580239203,0.137397182271828,0.844283484232384,FALSE,130670802,110927545,19743257,0.8489,0.8069,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22170_sorted.bam",127832076,2490591,0.0191109578811796,0.432732400942411,30754869,0,0,0,0,0,0,0,20095440,0,0,13954367,0,6266658,1.0307311014721e-05,NA,NA,NA,NA
"R22171","R22171","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0632944525478458,0.535918837360389,3.29257064392196,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0643161315399903,0.525152355361481,3.19710553448978,FALSE,138986904,125556748,13430156,0.9034,0.8497,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22171_sorted.bam",147484295,3390219,0.0224704551492375,0.36904569144889,31808646,0,0,0,0,0,0,0,29549992,0,0,21130582,0,3702400,3.23811331045025e-05,NA,NA,NA,NA
"R22172","R22172","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.076524919901653,0.575534949478326,3.84496353356166,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0775111070495206,0.565587670722974,3.76567622205502,FALSE,149870134,134841915,15028219,0.8997,0.8529,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22172_sorted.bam",159856197,3048351,0.018712497824186,0.331179622665907,31851335,0,0,0,0,0,0,0,36576221,0,0,24552505,0,3195346,2.03759120300609e-05,NA,NA,NA,NA
"R22173","R22173","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0373615409998566,0.354151991394029,1.94070393402375,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0399272682464857,0.352068902110653,1.90289014337684,FALSE,167827660,153032926,14794734,0.9118,0.8668,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22173_sorted.bam",174097880,2987835,0.016872253078121,0.44720612567899,43655796,0,0,0,0,0,0,0,26587861,0,0,21882789,0,5492512,5.95339047305425e-05,NA,NA,NA,NA
"R22174","R22174","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","WARN","PASS","PASS","FAIL","FAIL","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0790542168974949,1.6922532313842,9.50340193092821,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0801575654014348,1.686657104045,9.44737433604145,FALSE,99515248,84232086,15283162,0.8464,0.8004,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22174_sorted.bam",102740106,3848803,0.0361088506872699,0.348087237437043,22486761,0,0,0,0,0,0,0,28496433,0,0,12021798,0,1595943,1.26741241212996e-05,NA,NA,NA,NA
"R22175","R22175","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0377766425789267,0.227063302382218,1.60961948852467,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0394725691051406,0.230670971345864,1.60953896019958,FALSE,124179908,113888431,10291477,0.9171,0.8814,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22175_sorted.bam",127182105,2398392,0.0185088964429578,0.508070807680069,35453813,0,0,0,0,0,0,0,16504465,0,0,13640207,0,4182759,8.8283875136364e-06,NA,NA,NA,NA
"R22176","R22176","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL/WARN","PASS","PASS","FAIL","FAIL","PASS","NA","101","53","41.0","41.0","39.0","39.0",NA,NA,0.0831941597956113,0.5575037219358,2.9552541270579,"101","54","41.0","41.0","39.0","39.0",NA,NA,0.096389720596412,0.620243018110565,3.26408580157792,FALSE,149050126,129852790,19197336,0.8712,0.8317,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22176_sorted.bam",244607950,7129331,0.0283205211865302,0.0335684996385805,7536066,0,0,0,0,0,0,0,202980003,0,0,13634146,0,347933,0.00299386974583291,NA,NA,NA,NA
"R22178","R22178","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.16333113996069,1.25351530656257,5.13675784171753,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.162381856865911,1.23510805240472,5.03637056262234,FALSE,126727212,100799350,25927862,0.7954,0.749,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22178_sorted.bam",119024693,2127315,0.0175590568833164,0.370898112513708,25771819,0,0,0,0,0,0,0,24084313,0,0,15085335,0,4543435,5.07143093004029e-05,NA,NA,NA,NA
"R22179","R22179","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.193366362855862,1.10028300161791,5.11424055176356,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.197321828199439,1.10628277128002,5.10684000370138,FALSE,144205536,126427220,17778316,0.8767,0.8318,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22179_sorted.bam",146207340,2794812,0.0187568566123797,0.426303695789955,35049000,0,0,0,0,0,0,0,24384626,0,0,18552980,0,4229430,6.78764016091757e-05,NA,NA,NA,NA
"R22180","R22180","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.125455565517118,0.785114988267222,4.05150789281932,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.128675884158727,0.785904385880103,4.02910985570007,FALSE,122751828,107432012,15319816,0.8752,0.8321,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22180_sorted.bam",129757005,2368001,0.0179224287036172,0.360093931280576,27461532,0,0,0,0,0,0,0,28712168,0,0,16078056,0,4010379,1.90812369827e-05,NA,NA,NA,NA
"R22181","R22181","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0336126756003076,0.299087682974262,2.05062204266114,"101","47","41.0","41.0","39.0","39.0",NA,NA,0.0391809479819248,0.323374315705596,2.16397090867481,FALSE,165976076,137773442,28202634,0.8301,0.7662,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22181_sorted.bam",153364003,2692101,0.0172508535776339,0.445420933382809,38969008,0,0,0,0,0,0,0,21462678,0,0,23147364,0,3908998,1.39341499275527e-05,NA,NA,NA,NA
"R22182","R22182","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.118114285693778,0.524698688596014,3.20046597710381,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.124948185886966,0.533281797356664,3.19860551399062,FALSE,139320150,122597335,16722815,0.88,0.8429,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22182_sorted.bam",151009535,3589872,0.0232204771652197,0.235070508696385,22451699,0,0,0,0,0,0,0,43119584,0,0,27741490,0,2197715,0.000933737798640539,NA,NA,NA,NA
"R22183","R22183","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","WARN","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0928851348967412,1.03534062318486,5.27037636644534,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0931356470361105,1.02159792626494,5.18610895998899,FALSE,180430378,157118416,23311962,0.8708,0.8193,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22183_sorted.bam",178143261,2452556,0.0135803588407588,0.465169945084831,46131604,0,0,0,0,0,0,0,25710130,0,0,21540181,0,5789591,1.50655936437849e-05,NA,NA,NA,NA
"R22184","R22184","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0849760747471056,0.629576846396914,3.63182178035801,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0877241106693519,0.631269596889884,3.61112068042691,FALSE,121104676,104723770,16380906,0.8647,0.8246,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22184_sorted.bam",128302435,2113995,0.0162095757413387,0.351304322592734,26754877,0,0,0,0,0,0,0,30361396,0,0,15092149,0,3950268,1.0913898053054e-05,NA,NA,NA,NA
"R22185","R22185","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.071117344487889,0.756190170046259,4.13367793664895,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0730760985534911,0.750788903697667,4.08610106436748,FALSE,124211612,109864032,14347580,0.8845,0.8342,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22185_sorted.bam",122459571,2069450,0.0166182146409069,0.403841422864084,27238371,0,0,0,0,0,0,0,15531962,0,0,21066262,0,3611590,2.34228397872986e-05,NA,NA,NA,NA
"R22186","R22186","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0206874200391283,0.113382269593674,0.760086056044976,"101","48","41.0","41.0","37.0","37.0",NA,NA,0.0199176628347591,0.105768231039705,0.698308746616835,FALSE,128092338,98138128,29954210,0.7662,0.7044,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22186_sorted.bam",109635314,2270225,0.0202869761433346,0.507627197660479,31729638,0,0,0,0,0,0,0,14860896,0,0,10503205,0,5412049,6.83903169648516e-06,NA,NA,NA,NA
"R22187","R22187","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0617770149132432,0.265273746536475,1.49719423617732,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0658054550340586,0.272115254987194,1.50051940921566,FALSE,114039178,103517932,10521246,0.9077,0.8722,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22187_sorted.bam",129922515,2106468,0.0159545877892584,0.313717009807544,24213886,0,0,0,0,0,0,0,32330682,0,0,17596330,0,3042950,1.56521757804592e-05,NA,NA,NA,NA
"R22188","R22188","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0441614064218387,0.25829131016307,1.69573212580886,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0471221017220198,0.262682312082849,1.69126231911665,FALSE,126895868,116453582,10442286,0.9177,0.8841,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22188_sorted.bam",135775955,1686874,0.0122714919536539,0.420821757584023,32333469,0,0,0,0,0,0,0,23621089,0,0,17169672,0,3709889,9.43295011122995e-06,NA,NA,NA,NA
